scenario_day,dong_id,gcoo_count_is,competitor_count_is,total_pm_count_is
2025-10-01,11010530,1.731818152177532,0.0,1.731818152177532
2025-10-01,11010540,0.7658794483127248,0.0,0.7658794483127248
2025-10-01,11010550,0.0689227231984973,0.0,0.0689227231984973
2025-10-01,11010560,0.15687319206529135,0.0,0.15687319206529135
2025-10-01,11010570,0.9013965905579443,0.0,0.9013965905579443
2025-10-01,11010580,0.2819066230456328,0.0,0.2819066230456328
2025-10-01,11010600,0.43077970515438685,0.0,0.43077970515438685
2025-10-01,11010610,1.57689270935065,0.0,1.57689270935065
2025-10-01,11010630,0.8138801080519482,0.0,0.8138801080519482
2025-10-01,11010640,0.9805377897786705,0.0,0.9805377897786705
2025-10-01,11010670,0.30520504051948066,0.0,0.30520504051948066
2025-10-01,11010680,0.0,0.0,0.0
2025-10-01,11010690,0.20347002701298705,0.0,0.20347002701298705
2025-10-01,11010700,0.5086750675324677,0.0,0.5086750675324677
2025-10-01,11010710,0.8138801080519482,0.0,0.8138801080519482
2025-10-01,11010720,0.15260252025974033,0.0,0.15260252025974033
2025-10-01,11010730,0.9695101540669109,0.0,0.9695101540669109
2025-10-01,11020520,1.3466654435401113,0.0,1.3466654435401113
2025-10-01,11020540,0.8196645427351106,0.0,0.8196645427351106
2025-10-01,11020550,1.2827153045429287,0.0,1.2827153045429287
2025-10-01,11020570,0.2395804599034881,0.0,0.2395804599034881
2025-10-01,11020580,0.9879459254255273,0.0,0.9879459254255273
2025-10-01,11020590,0.6958742578050979,0.0,0.6958742578050979
2025-10-01,11020600,0.6612775877922079,0.0,0.6612775877922079
2025-10-01,11020650,0.05086750675324676,0.0,0.05086750675324676
2025-10-01,11020670,0.7818796682257994,0.0,0.7818796682257994
2025-10-01,11020680,1.861344821927908,0.0,1.861344821927908
2025-10-01,11020690,3.6671201697285367,0.0,3.6671201697285367
2025-10-01,11020700,0.10173501350649353,0.0,0.10173501350649353
2025-10-01,11020710,0.05086750675324676,0.0,0.05086750675324676
2025-10-01,11020720,0.0,0.0,0.0
2025-10-01,11020730,0.0,0.0,0.0
2025-10-01,11030510,1.6952283738557508,0.0,1.6952283738557508
2025-10-01,11030520,0.15260252025974033,0.0,0.15260252025974033
2025-10-01,11030530,0.6780896581871297,0.0,0.6780896581871297
2025-10-01,11030570,0.7121450945454547,0.0,0.7121450945454547
2025-10-01,11030580,3.27093713458704,0.0,3.27093713458704
2025-10-01,11030590,1.2542809333342504,0.0,1.2542809333342504
2025-10-01,11030630,0.10173501350649353,0.0,0.10173501350649353
2025-10-01,11030640,0.35607254727272736,0.0,0.35607254727272736
2025-10-01,11030650,0.0,0.0,0.0
2025-10-01,11030660,0.0,0.0,0.0
2025-10-01,11030690,0.5811665501407522,0.0,0.5811665501407522
2025-10-01,11030700,1.01178557655394,0.0,1.01178557655394
2025-10-01,11030710,2.19271512693526,0.0,2.19271512693526
2025-10-01,11030720,0.20347002701298705,0.0,0.20347002701298705
2025-10-01,11030730,1.119085148571429,0.0,1.119085148571429
2025-10-01,11030740,3.168931504253264,0.0,3.168931504253264
2025-10-01,11040520,0.25433753376623386,0.0,0.25433753376623386
2025-10-01,11040540,2.3459096215046804,0.0,2.3459096215046804
2025-10-01,11040550,2.0595716479122976,0.0,2.0595716479122976
2025-10-01,11040560,0.35607254727272736,0.0,0.35607254727272736
2025-10-01,11040570,0.05086750675324676,0.0,0.05086750675324676
2025-10-01,11040580,0.13757482956971215,0.0,0.13757482956971215
2025-10-01,11040590,0.0,0.0,0.0
2025-10-01,11040620,0.0,0.0,0.0
2025-10-01,11040650,0.864747614805195,0.0,0.864747614805195
2025-10-01,11040660,0.8138801080519482,0.0,0.8138801080519482
2025-10-01,11040670,0.20347002701298705,0.0,0.20347002701298705
2025-10-01,11040680,2.238170297142858,0.0,2.238170297142858
2025-10-01,11040690,1.317582591383101,0.0,1.317582591383101
2025-10-01,11040700,2.098329051644655,0.0,2.098329051644655
2025-10-01,11040710,0.9156151215584418,0.0,0.9156151215584418
2025-10-01,11040720,0.0,0.0,0.0
