dong_id,p_i,c_i,K_i,x_obs_i,B_i
11010530,1714.8274285714288,2529.7619047619046,3,1.731818152177532,0.023809523809523808
11010540,1847.7667500000002,2656.25,1,0.7658794483127248,0.125
11010550,1769.9161251319956,3333.333333333333,1,0.0689227231984973,0.6666666666666666
11010560,1469.7375000000002,3333.333333333333,1,0.15687319206529135,0.6666666666666666
11010570,1828.2228,2968.75,2,0.9013965905579443,0.375
11010580,2079.5946,2500.0,1,0.2819066230456328,0.0
11010600,1658.3172000000002,2604.166666666667,1,0.43077970515438685,0.08333333333333333
11010610,1763.4538064516128,2777.777777777778,2,1.57689270935065,0.2222222222222222
11010630,1518.2362500000002,2664.4736842105267,2,0.8138801080519482,0.13157894736842105
11010640,1727.080588235294,2617.1875,2,0.9805377897786705,0.09375
11010670,2430.123,2734.375,1,0.30520504051948066,0.1875
11010680,1809.400562369734,2500.0,0,0.0,0.0
11010690,1908.825,3125.0,1,0.20347002701298705,0.5
11010700,1748.2785,2708.333333333333,1,0.5086750675324677,0.16666666666666666
11010710,1653.0680625,2672.413793103448,2,0.8138801080519482,0.13793103448275862
11010720,1546.2959999999998,2656.25,1,0.15260252025974033,0.125
11010730,1892.8854705882354,2812.5,2,0.9695101540669109,0.25
11020520,1526.2157142857145,2529.7619047619046,2,1.3466654435401113,0.023809523809523808
11020540,1530.4489285714285,2796.0526315789475,2,0.8196645427351106,0.23684210526315788
11020550,1668.5584800000001,2698.8636363636365,2,1.2827153045429287,0.1590909090909091
11020570,1582.9979999999998,2708.333333333333,1,0.2395804599034881,0.16666666666666666
11020580,1594.6979999999999,2500.0,2,0.9879459254255273,0.0
11020590,1829.06175,2812.5,1,0.6958742578050979,0.25
11020600,1616.5423846153844,2586.206896551724,1,0.6612775877922079,0.06896551724137931
11020650,1592.6909999999998,3125.0,1,0.05086750675324676,0.5
11020670,2079.868875,2666.6666666666665,1,0.7818796682257994,0.13333333333333333
11020680,1551.8425714285713,2589.2857142857147,3,1.861344821927908,0.07142857142857142
11020690,1803.7474285714284,2708.333333333333,5,3.6671201697285367,0.16666666666666666
11020700,1428.5535,2500.0,1,0.10173501350649353,0.0
11020710,1270.788,2812.5,1,0.05086750675324676,0.25
