operating_day,origin_dong_id,destination_dong_id,distance_km,duration_min,speed_kmph
2025-10-01,11050610,11050540,1.2873599999999998,7,11.034514285714284
2025-10-01,11210780,11210610,1.14416,7,9.807085714285714
2025-10-01,11210780,11210610,1.63,5,19.56
2025-10-01,11020600,11010610,0.77836,6,7.7836
2025-10-01,11080600,11080820,1.21824,7,10.442057142857143
2025-10-01,11190630,11190540,1.1610999999999998,6,11.610999999999997
2025-10-01,11050660,11050530,0.91724,8,6.879300000000001
2025-10-01,11160520,11160740,1.28334,7,11.000057142857141
2025-10-01,11010710,11010670,1.10146,8,8.260950000000001
2025-10-01,11160670,11160690,0.72858,3,14.5716
2025-10-01,11240770,11240800,1.07297,8,8.047275
2025-10-01,11100630,11100550,0.88295,6,8.8295
2025-10-01,11160700,11160690,0.54,3,10.8
2025-10-01,11150610,11160730,1.04,7,8.914285714285715
2025-10-01,11120590,11120730,1.0035399999999999,8,7.526549999999999
2025-10-01,11190610,11190550,0.82502,4,12.3753
2025-10-01,11190550,11190610,0.5307999999999999,5,6.369599999999999
2025-10-01,11170560,11170710,0.5709299999999999,3,11.418599999999998
2025-10-01,11120740,11120730,1.36659,5,16.39908
2025-10-01,11230710,11230670,0.90458,3,18.0916
2025-10-01,11140710,11140660,0.69,3,13.799999999999999
2025-10-01,11240630,11240800,1.22,5,14.64
2025-10-01,11060810,11010710,1.2566400000000002,7,10.771200000000002
2025-10-01,11160700,11160751,1.1746500000000002,8,8.809875000000002
2025-10-01,11150510,11190760,0.86213,5,10.34556
2025-10-01,11050650,11050660,0.9010900000000001,8,6.7581750000000005
2025-10-01,11190690,11190540,0.9192400000000001,8,6.8943
2025-10-01,11070730,11070600,0.5832,4,8.748000000000001
2025-10-01,11150630,11150660,0.95204,5,11.42448
2025-10-01,11080710,11080720,0.73358,4,11.0037
2025-10-01,11150710,11150510,0.98453,6,9.8453
2025-10-01,11190740,11190760,0.56129,4,8.41935
2025-10-01,11110520,11110510,1.489,6,14.89
2025-10-01,11160670,11160751,0.684,6,6.84
2025-10-01,11150700,11150640,1.68263,7,14.422542857142858
2025-10-01,11020550,11010610,0.7833600000000001,6,7.833600000000001
2025-10-01,11160700,11160690,1.15208,6,11.5208
2025-10-01,11120560,11120740,1.39863,8,10.489725
2025-10-01,11150590,11160730,1.3629200000000001,8,10.221900000000002
2025-10-01,11170560,11170510,0.68,4,10.200000000000001
2025-10-01,11190550,11190560,0.9741299999999999,6,9.741299999999999
2025-10-01,11170710,11170610,1.56393,8,11.729475
2025-10-01,11250540,11250610,0.5827100000000001,4,8.74065
2025-10-01,11140590,11140780,0.65599,5,7.87188
2025-10-01,11160700,11160751,1.2234200000000002,7,10.486457142857144
2025-10-01,11060870,11040700,0.81,6,8.1
2025-10-01,11240670,11240660,0.76,5,9.120000000000001
2025-10-01,11110580,11110770,1.17913,6,11.7913
2025-10-01,11170520,11180510,1.16261,6,11.6261
2025-10-01,11100640,11100650,0.50317,6,5.0317
2025-10-01,11190700,11200700,0.84364,6,8.436399999999999
2025-10-01,11070690,11070590,0.82,3,16.4
2025-10-01,11250770,11250560,1.45857,6,14.5857
2025-10-01,11050650,11050660,0.96638,6,9.6638
2025-10-01,11050540,11050590,1.36476,8,10.2357
2025-10-01,11050540,11040680,0.79344,4,11.9016
2025-10-01,11160610,11160740,1.63542,6,16.3542
2025-10-01,11160670,11160751,1.03167,7,8.842885714285714
2025-10-01,11050640,11050660,1.37063,6,13.706299999999999
2025-10-01,11130760,11140660,1.50824,8,11.3118
2025-10-01,11060830,11060910,1.00977,7,8.655171428571428
2025-10-01,11040540,11060910,1.1033199999999999,6,11.033199999999997
2025-10-01,11130760,11140660,1.26434,9,8.428933333333333
2025-10-01,11050590,11060870,0.93868,6,9.3868
2025-10-01,11190750,11170510,1.40691,6,14.0691
2025-10-01,11050650,11050660,0.8734400000000001,5,10.481280000000002
2025-10-01,11160751,11160610,1.83686,9,12.245733333333334
2025-10-01,11160761,11160751,1.2223199999999999,8,9.167399999999999
2025-10-01,11250710,11250660,0.92,5,11.040000000000001
2025-10-01,11250560,11250750,0.8487,7,7.274571428571429
2025-10-01,11250560,11250750,0.69782,6,6.978199999999999
2025-10-01,11070690,11070590,1.20743,7,10.3494
2025-10-01,11110590,11110560,1.1257300000000001,6,11.2573
2025-10-01,11150700,11150510,1.52191,8,11.414325000000002
2025-10-01,11150690,11150510,0.57,4,8.549999999999999
2025-10-01,11230640,11220660,0.99881,5,11.98572
2025-10-01,11150650,11150510,0.71501,4,10.725150000000001
2025-10-01,11190720,11190680,1.31852,9,8.790133333333333
2025-10-01,11090620,11090710,1.0955,8,8.216249999999999
2025-10-01,11240770,11240610,1.2274100000000001,8,9.205575000000001
2025-10-01,11060810,11040540,0.98277,9,6.5518
2025-10-01,11050650,11050660,0.95625,7,8.196428571428571
2025-10-01,11190610,11190740,0.9606699999999999,7,8.234314285714285
2025-10-01,11110530,11110580,1.4416300000000002,8,10.812225000000002
2025-10-01,11060870,11040700,0.7314299999999999,4,10.971449999999999
2025-10-01,11160670,11160751,0.95,6,9.499999999999998
2025-10-01,11170650,11170720,1.22786,8,9.20895
2025-10-01,11240750,11240770,0.63663,7,5.456828571428572
2025-10-01,11090600,11090650,0.70445,4,10.56675
2025-10-01,11150610,11160730,0.93,7,7.9714285714285715
2025-10-01,11160710,11160700,0.88487,6,8.8487
2025-10-01,11010610,11010600,1.5098699999999998,9,10.0658
2025-10-01,11250550,11250590,1.1823800000000002,8,8.867850000000002
2025-10-01,11050650,11050660,1.0283399999999998,4,15.425099999999997
2025-10-01,11160700,11160751,1.05539,6,10.5539
2025-10-01,11070690,11070590,1.59148,8,11.9361
2025-10-01,11240650,11240670,0.83,4,12.45
2025-10-01,11170510,11170560,1.13667,7,9.742885714285714
2025-10-01,11050610,11050600,1.05449,7,9.038485714285713
2025-10-01,11050640,11050530,1.14792,7,9.839314285714286
2025-10-01,11240610,11240630,0.74928,5,8.99136
2025-10-01,11140660,11140710,1.03,7,8.82857142857143
2025-10-01,11180520,11170540,0.94,7,8.057142857142857
2025-10-01,11220660,11230670,1.21949,7,10.452771428571427
2025-10-01,11150690,11150510,1.2429700000000001,6,12.4297
2025-10-01,11200710,11030630,1.1884700000000001,9,7.923133333333334
2025-10-01,11160570,11160730,0.90276,5,10.833120000000001
2025-10-01,11170560,11170510,0.80911,3,16.182199999999998
2025-10-01,11140610,11140780,0.52,6,5.2
2025-10-01,11170710,11170520,0.92144,5,11.05728
2025-10-01,11180520,11180570,1.1,6,11.0
2025-10-01,11150710,11150520,0.9219700000000001,7,7.9026000000000005
2025-10-01,11150690,11150510,0.68204,3,13.640799999999999
2025-10-01,11050650,11050660,0.6934199999999999,3,13.868399999999998
2025-10-01,11160610,11160520,0.8873099999999999,7,7.6055142857142854
2025-10-01,11090640,11090650,0.66,4,9.9
2025-10-01,11240610,11240620,1.08209,7,9.275057142857143
2025-10-01,11160660,11160540,1.05104,9,7.0069333333333335
2025-10-01,11240800,11240770,1.40842,9,9.389466666666667
2025-10-01,11050600,11050530,1.47786,9,9.8524
2025-10-01,11250650,11240520,1.85096,9,12.339733333333333
2025-10-01,11070690,11070590,0.68531,3,13.706199999999999
2025-10-01,11090700,11090710,1.61,9,10.733333333333334
2025-10-01,11230680,11230800,0.70975,6,7.097499999999999
2025-10-01,11220670,11220680,0.69823,5,8.378760000000002
2025-10-01,11250760,11250770,1.49978,6,14.997799999999998
2025-10-01,11150600,11150720,0.99251,6,9.925099999999999
2025-10-01,11090640,11090650,0.99859,9,6.657266666666667
2025-10-01,11190550,11190610,0.63983,3,12.7966
2025-10-01,11210780,11210690,1.44297,5,17.315640000000002
2025-10-01,11160690,11160751,1.26054,5,15.12648
2025-10-01,11150690,11150700,0.5478099999999999,4,8.217149999999998
2025-10-01,11050540,11040680,1.87575,6,18.7575
2025-10-01,11170670,11170620,1.7,7,14.571428571428571
2025-10-01,11230760,11230750,1.6736600000000001,10,10.041960000000001
2025-10-01,11050650,11050660,0.9499099999999999,7,8.142085714285713
2025-10-01,11040690,11040680,0.5482899999999999,4,8.22435
2025-10-01,11060870,11040700,0.90411,8,6.780825
2025-10-01,11150570,11160730,1.0428199999999999,7,8.93845714285714
2025-10-01,11160590,11150510,0.57,3,11.399999999999999
2025-10-01,11240710,11240800,0.76235,5,9.148200000000001
2025-10-01,11250740,11250710,1.0514100000000002,7,9.012085714285716
2025-10-01,11200670,11200730,1.85293,10,11.11758
2025-10-01,11190610,11190550,1.07906,6,10.790599999999998
2025-10-01,11050650,11050660,1.0324,5,12.3888
2025-10-01,11130700,11130690,0.65928,4,9.8892
2025-10-01,11150690,11150510,1.09486,7,9.384514285714285
2025-10-01,11070570,11070720,0.5261,3,10.522
2025-10-01,11170560,11190720,0.68206,5,8.18472
2025-10-01,11230790,11230590,0.5,5,6.0
2025-10-01,11190560,11190740,0.76003,8,5.700225
2025-10-01,11150690,11150640,1.38,9,9.2
2025-10-01,11110610,11110780,0.91769,6,9.1769
2025-10-01,11100620,11110610,1.75009,10,10.50054
2025-10-01,11180520,11180510,1.13471,7,9.726085714285714
2025-10-01,11150710,11150510,1.07044,6,10.7044
2025-10-01,11170560,11170510,1.0946,7,9.382285714285715
2025-10-01,11110780,11110610,1.08483,6,10.848299999999998
2025-10-01,11230710,11230670,1.02,5,12.24
2025-10-01,11170560,11170550,0.50693,4,7.60395
2025-10-01,11120570,11120740,1.5571,8,11.67825
2025-10-01,11200630,11220630,0.80912,5,9.70944
2025-10-01,11060870,11040700,0.60266,4,9.0399
2025-10-01,11220630,11220610,1.2309400000000001,10,7.385640000000001
2025-10-01,11020540,11030530,1.23583,8,9.268725
2025-10-01,11180520,11180510,0.9810099999999999,4,14.71515
2025-10-01,11240530,11240600,1.32,5,15.840000000000002
2025-10-01,11100600,11090620,1.48,10,8.88
2025-10-01,11240810,11240690,2.16,7,18.514285714285716
2025-10-01,11140660,11140600,1.0703900000000002,5,12.844680000000002
2025-10-01,11230710,11220670,0.96,6,9.6
2025-10-01,11240660,11230750,1.20762,5,14.491439999999999
2025-10-01,11050610,11050620,0.8235,5,9.882000000000001
2025-10-01,11030690,11030650,0.65586,3,13.117199999999999
2025-10-01,11160690,11160751,0.81417,5,9.77004
2025-10-01,11180520,11180510,1.3415599999999999,4,20.123399999999997
2025-10-01,11150650,11150510,0.77,4,11.55
2025-10-01,11180520,11180510,0.9810099999999999,5,11.77212
2025-10-01,11180520,11180510,0.86841,7,7.4435142857142855
2025-10-01,11190690,11190540,1.10472,9,7.3648
2025-10-01,11170710,11180510,0.9986900000000001,7,8.5602
2025-10-01,11020520,11010530,0.64,4,9.6
2025-10-01,11100510,11090650,1.4315799999999999,8,10.736849999999999
2025-10-01,11240810,11240680,1.08297,3,21.659399999999998
2025-10-01,11220600,11220570,0.7263099999999999,6,7.263099999999999
2025-10-01,11170650,11170720,1.22773,9,8.184866666666666
2025-10-01,11220660,11220670,0.75728,5,9.08736
2025-10-01,11080840,11080720,0.7369199999999999,3,14.738399999999997
2025-10-01,11160751,11160690,0.69787,4,10.46805
2025-10-01,11080680,11080720,0.93023,6,9.302299999999999
2025-10-01,11160700,11160690,1.29386,8,9.70395
2025-10-01,11050670,11040660,1.93001,11,10.527327272727273
2025-10-01,11170550,11170540,1.58707,8,11.903025
2025-10-01,11040690,11040680,0.5482899999999999,3,10.965799999999998
2025-10-01,11020520,11010530,1.48,8,11.1
2025-10-01,11150510,11150690,1.717,7,14.717142857142857
2025-10-01,11190560,11190740,0.5232100000000001,3,10.4642
2025-10-01,11130660,11130620,1.66234,9,11.082266666666667
2025-10-01,11050650,11050660,0.84503,6,8.450299999999999
2025-10-01,11010730,11010640,1.50986,9,10.065733333333334
2025-10-01,11010630,11010610,0.82309,5,9.877080000000001
2025-10-01,11070550,11060730,1.3482,10,8.089200000000002
2025-10-01,11160730,11150590,1.41404,9,9.426933333333334
2025-10-01,11140730,11140710,0.60339,6,6.033899999999999
2025-10-01,11040710,11060810,0.60362,5,7.2434400000000005
2025-10-01,11180520,11180510,0.84287,5,10.11444
2025-10-01,11070600,11070710,0.7091000000000001,3,14.182
2025-10-01,11240800,11240780,1.24349,9,8.289933333333334
2025-10-01,11050640,11050660,1.2097,5,14.5164
2025-10-01,11240680,11240690,1.27523,6,12.7523
2025-10-01,11110730,11110720,0.86998,6,8.6998
2025-10-01,11150720,11150690,1.7019600000000001,9,11.346400000000001
2025-10-01,11190690,11190540,0.62518,5,7.50216
2025-10-01,11170550,11190720,0.78139,4,11.72085
2025-10-01,11090600,11090610,0.89,5,10.680000000000001
2025-10-01,11060860,11040700,1.8970799999999999,10,11.38248
2025-10-01,11150520,11150510,1.48837,9,9.922466666666667
2025-10-01,11210680,11210690,1.26,6,12.6
2025-10-01,11160690,11160700,0.7924800000000001,7,6.792685714285715
2025-10-01,11200680,11200700,1.59948,9,10.6632
2025-10-01,11050650,11050640,1.03,5,12.360000000000001
2025-10-01,11150650,11170510,0.77103,5,9.252360000000001
2025-10-01,11240770,11240610,1.22042,7,10.460742857142858
2025-10-01,11240800,11240640,0.88206,7,7.5605142857142855
2025-10-01,11140710,11140660,1.0238,5,12.2856
2025-10-01,11040540,11060810,0.99,6,9.899999999999999
2025-10-01,11010710,11010670,1.37,8,10.275
2025-10-01,11220580,11220590,1.06886,6,10.6886
2025-10-01,11190690,11190540,1.2172100000000001,8,9.129075
2025-10-01,11040700,11060880,1.41837,8,10.637775
2025-10-01,11040670,11050670,0.63,5,7.5600000000000005
2025-10-01,11160751,11160650,0.68033,4,10.20495
2025-10-01,11030510,11030730,2.05,8,15.374999999999998
2025-10-01,11160690,11160751,0.78412,4,11.761800000000001
2025-10-01,11160700,11160751,1.3048499999999998,10,7.8290999999999995
2025-10-01,11250650,11240590,1.4453099999999999,6,14.453099999999997
2025-10-01,11150700,11150690,0.8414400000000001,5,10.097280000000001
2025-10-01,11160530,11160520,0.66855,4,10.02825
2025-10-01,11110600,11110770,2.06391,11,11.25769090909091
2025-10-01,11070640,11110790,2.23765,10,13.4259
2025-10-01,11240590,11250700,1.1,7,9.428571428571429
2025-10-01,11010530,11010720,1.23836,10,7.43016
2025-10-01,11160610,11160740,1.20332,8,9.0249
