hour,hour_label,origin,destination,demand,served,unmet,rate,base_rate,regression_rate,empirical_rate,normal_z,normal_quantile,origin_latitude,origin_longitude,dest_latitude,dest_longitude
4,04:00-05:00,grid_8123_22775,grid_8123_22776,2,2,0,0.5089873921360882,0.37240037081921074,0.7544772499596497,0.16666666666666666,-0.39654429320699625,0.3458517694547581,36.48681193373494,127.24981239156627,36.487606373493975,127.25663675903614
4,04:00-05:00,grid_8123_22775,grid_8124_22776,1,1,0,0.22187288380452416,0.16233318443660155,0.46380909839029016,0.0,0.7602418540402283,0.7764449844177712,36.486914951923076,127.249815,36.490671317307694,127.2556840576923
4,04:00-05:00,grid_8151_22782,grid_8150_22782,6,6,0,3.8835301890982974,2.8413829199940706,0.38014167617353406,4.166666666666667,0.3575086610992813,0.6396444782809553,36.6116597037037,127.28830101851852,36.608379212962966,127.28860700925925
4,04:00-05:00,grid_8151_22782,grid_8151_22781,1,1,0,0.3758163133917877,0.27496581767901795,0.16656900289243232,0.3333333333333333,-0.08844689569939712,0.4647607449674659,36.61166935,127.28944254999999,36.611978575,127.284734875
4,04:00-05:00,grid_8128_22777,grid_8129_22777,1,1,0,0.08846726186937533,0.06472702788816231,0.18493436539474947,0.0,1.538759399604775,0.9380684774774684,36.50936406521739,127.26140332608696,36.51411897826087,127.25945828260869
4,04:00-05:00,grid_8128_22777,grid_8127_22775,2,2,0,0.30055838165218557,0.21990338957191596,0.009247779729283673,0.3333333333333333,0.2129519610285855,0.5843177836355913,36.50961014285714,127.26019642857143,36.50508971428572,127.25008385714285
4,04:00-05:00,grid_8126_22775,grid_8124_22776,1,1,0,0.07008717225568004,0.05127924451752754,0.14651212719293585,0.0,-0.5281499021413888,0.29869764878830374,36.501917463414635,127.24887756097561,36.49188195121951,127.25645053658536
4,04:00-05:00,grid_8126_22775,grid_8127_22772,1,1,0,0.009094204375683673,0.006653770081803497,0.019010771662295707,0.0,-0.8591234877563181,0.19513619506456154,36.502149777777774,127.24857411111111,36.505406,127.23436722222222
4,04:00-05:00,grid_8125_22775,grid_8125_22774,1,1,0,0.06552067168826815,0.047938166661918025,0.13696619046262293,0.0,0.21516812641034933,0.5851818798278285,36.49561062857143,127.24864497142858,36.49600862857143,127.24370285714285
4,04:00-05:00,grid_8124_22777,grid_8123_22778,1,1,0,0.6604140395838206,0.4831916016683396,0.1424521952428749,0.6666666666666666,-1.9027836928086665,0.028534387959493646,36.49075088235294,127.25957255882352,36.48846541176471,127.26561885294119
4,04:00-05:00,grid_8124_22777,grid_8121_22779,1,1,0,0.2961345107871112,0.21666666666666667,0.0,0.3333333333333333,-0.14860655935847567,0.44093204843412903,36.4911405,127.263036,36.478969500000005,127.2701505
4,04:00-05:00,grid_8124_22777,grid_8124_22778,2,1,1,0.1480672553935556,0.10833333333333334,0.0,0.16666666666666666,1.496004367456376,0.9326737414722037,36.491004,127.260993,36.490539,127.266312
4,04:00-05:00,grid_8123_22778,grid_8124_22777,1,1,0,0.3497830786620637,0.25591861451297043,0.11214842241801076,0.3333333333333333,-1.8735238416022502,0.030498041817030086,36.48845682142857,127.2653732142857,36.49064453571429,127.25981549999999
