timestamp,zone_id,operator_name,device_count,effective_device_count,avg_battery,zone_center_latitude,zone_center_longitude
2026-06-12T06:11:12+0900,grid_8087_22790,ALPACA,1,1,39.0,36.32545813869925,127.33602127097176
2026-06-12T06:11:12+0900,grid_8087_22791,ALPACA,1,1,31.0,36.32545813869925,127.34160851220258
2026-06-12T06:11:12+0900,grid_8087_22792,ALPACA,1,1,30.0,36.32545813869925,127.3471957534334
2026-06-12T06:11:12+0900,grid_8088_22791,ALPACA,2,2,74.0,36.3299496945742,127.34160851220258
2026-06-12T06:11:12+0900,grid_8089_22790,ALPACA,1,1,49.0,36.33444125044915,127.33602127097176
2026-06-12T06:11:12+0900,grid_8090_22789,ALPACA,1,1,62.0,36.33893280632411,127.33043402974094
2026-06-12T06:11:12+0900,grid_8090_22791,ALPACA,4,4,57.0,36.33893280632411,127.34160851220258
2026-06-12T06:11:12+0900,grid_8090_22792,ALPACA,1,1,55.0,36.33893280632411,127.3471957534334
2026-06-12T06:11:12+0900,grid_8091_22788,ALPACA,1,1,31.0,36.343424362199066,127.32484678851013
2026-06-12T06:11:12+0900,grid_8091_22789,ALPACA,1,1,43.0,36.343424362199066,127.33043402974094
2026-06-12T06:11:12+0900,grid_8091_22790,ALPACA,6,6,45.166666666666664,36.343424362199066,127.33602127097176
2026-06-12T06:11:12+0900,grid_8091_22791,ALPACA,29,29,64.41379310344827,36.343424362199066,127.34160851220258
2026-06-12T06:11:12+0900,grid_8091_22792,ALPACA,8,8,62.375,36.343424362199066,127.3471957534334
2026-06-12T06:11:12+0900,grid_8091_22798,ALPACA,1,1,67.0,36.343424362199066,127.3807192008183
2026-06-12T06:11:12+0900,grid_8092_22788,ALPACA,1,1,53.0,36.34791591807402,127.32484678851013
2026-06-12T06:11:12+0900,grid_8092_22789,ALPACA,7,7,44.142857142857146,36.34791591807402,127.33043402974094
2026-06-12T06:11:12+0900,grid_8092_22790,ALPACA,18,18,52.44444444444444,36.34791591807402,127.33602127097176
2026-06-12T06:11:12+0900,grid_8092_22791,ALPACA,10,10,59.9,36.34791591807402,127.34160851220258
2026-06-12T06:11:12+0900,grid_8092_22798,ALPACA,1,1,41.0,36.34791591807402,127.3807192008183
2026-06-12T06:11:12+0900,grid_8093_22789,ALPACA,18,18,63.22222222222222,36.35240747394898,127.33043402974094
2026-06-12T06:11:12+0900,grid_8093_22790,ALPACA,15,15,58.0,36.35240747394898,127.33602127097176
2026-06-12T06:11:12+0900,grid_8093_22791,ALPACA,35,35,68.85714285714286,36.35240747394898,127.34160851220258
2026-06-12T06:11:12+0900,grid_8093_22792,ALPACA,15,15,57.733333333333334,36.35240747394898,127.3471957534334
2026-06-12T06:11:12+0900,grid_8093_22793,ALPACA,15,15,96.6,36.35240747394898,127.35278299466421
2026-06-12T06:11:12+0900,grid_8093_22796,ALPACA,1,1,85.0,36.35240747394898,127.36954471835668
2026-06-12T06:11:12+0900,grid_8093_22797,ALPACA,15,15,95.26666666666667,36.35240747394898,127.37513195958749
2026-06-12T06:11:12+0900,grid_8093_22801,ALPACA,1,1,46.0,36.35240747394898,127.39748092451076
2026-06-12T06:11:12+0900,grid_8094_22789,ALPACA,13,13,65.6923076923077,36.35689902982393,127.33043402974094
2026-06-12T06:11:12+0900,grid_8094_22790,ALPACA,24,24,59.166666666666664,36.35689902982393,127.33602127097176
2026-06-12T06:11:12+0900,grid_8094_22791,ALPACA,18,18,57.05555555555556,36.35689902982393,127.34160851220258
2026-06-12T06:11:12+0900,grid_8094_22792,ALPACA,16,16,67.5,36.35689902982393,127.3471957534334
2026-06-12T06:11:12+0900,grid_8094_22793,ALPACA,14,14,55.42857142857143,36.35689902982393,127.35278299466421
2026-06-12T06:11:12+0900,grid_8094_22794,ALPACA,6,6,58.166666666666664,36.35689902982393,127.35837023589504
2026-06-12T06:11:12+0900,grid_8094_22795,ALPACA,16,16,88.6875,36.35689902982393,127.36395747712585
2026-06-12T06:11:12+0900,grid_8094_22796,ALPACA,32,32,86.0,36.35689902982393,127.36954471835668
2026-06-12T06:11:12+0900,grid_8094_22797,ALPACA,2,2,82.5,36.35689902982393,127.37513195958749
2026-06-12T06:11:12+0900,grid_8094_22798,ALPACA,1,1,85.0,36.35689902982393,127.3807192008183
2026-06-12T06:11:12+0900,grid_8095_22789,ALPACA,2,2,56.5,36.361390585698885,127.33043402974094
2026-06-12T06:11:12+0900,grid_8095_22790,ALPACA,16,16,62.625,36.361390585698885,127.33602127097176
2026-06-12T06:11:12+0900,grid_8095_22791,ALPACA,11,11,72.0,36.361390585698885,127.34160851220258
2026-06-12T06:11:12+0900,grid_8095_22792,ALPACA,20,20,93.95,36.361390585698885,127.3471957534334
2026-06-12T06:11:12+0900,grid_8095_22793,ALPACA,4,4,64.25,36.361390585698885,127.35278299466421
2026-06-12T06:11:12+0900,grid_8095_22794,ALPACA,23,23,80.6086956521739,36.361390585698885,127.35837023589504
2026-06-12T06:11:12+0900,grid_8095_22796,ALPACA,1,1,99.0,36.361390585698885,127.36954471835668
2026-06-12T06:11:12+0900,grid_8095_22797,ALPACA,2,2,65.0,36.361390585698885,127.37513195958749
2026-06-12T06:11:12+0900,grid_8096_22786,ALPACA,1,1,76.0,36.36588214157384,127.31367230604849
2026-06-12T06:11:12+0900,grid_8096_22790,ALPACA,1,1,47.0,36.36588214157384,127.33602127097176
2026-06-12T06:11:12+0900,grid_8096_22791,ALPACA,34,34,75.82352941176471,36.36588214157384,127.34160851220258
2026-06-12T06:11:12+0900,grid_8096_22792,ALPACA,17,17,77.70588235294117,36.36588214157384,127.3471957534334
2026-06-12T06:11:12+0900,grid_8096_22794,ALPACA,4,4,64.0,36.36588214157384,127.35837023589504
2026-06-12T06:11:12+0900,grid_8096_22795,ALPACA,16,16,80.9375,36.36588214157384,127.36395747712585
