prev_zone_id,zone_id,trip_count,device_count,operator_count,avg_distance_m,median_distance_m,avg_speed_kmph,first_timestamp,last_timestamp,origin_latitude,origin_longitude,dest_latitude,dest_longitude
grid_8124_22776,grid_8120_22781,1,1,1,2829.3910569164104,2829.3910569164104,33.83989303953182,2026-06-13T00:25:06+0900,2026-06-13T00:25:06+0900,36.49089,127.256156,36.474236,127.280083
grid_8146_22782,grid_8152_22782,1,1,1,2827.7624476599717,2827.7624476599717,33.37686823467507,2026-06-12T22:15:10+0900,2026-06-12T22:15:10+0900,36.591335,127.290305,36.616618,127.286896
grid_8130_22772,grid_8132_22778,1,1,1,2826.626589703553,2826.626589703553,34.61175415963533,2026-06-12T17:45:08+0900,2026-06-12T17:45:08+0900,36.519671,127.235094,36.529442,127.264297
grid_8128_22775,grid_8122_22775,1,1,1,2803.7050873652265,2803.7050873652265,33.98430408927547,2026-06-12T16:35:09+0900,2026-06-12T16:35:09+0900,36.507482,127.249578,36.482275,127.250334
grid_8125_22775,grid_8130_22777,1,1,1,2800.0068317000496,2800.0068317000496,34.40281431440334,2026-06-12T19:25:06+0900,2026-06-12T19:25:06+0900,36.494526,127.249157,36.517986,127.26054
grid_8123_22785,grid_8125_22779,1,1,1,2782.8637724571063,2782.8637724571063,33.506052109851446,2026-06-13T17:45:09+0900,2026-06-13T17:45:09+0900,36.485518,127.30289,36.495376,127.274277
grid_8123_22777,grid_8120_22781,1,1,1,2781.519247335754,2781.519247335754,33.48986384752078,2026-06-13T23:45:04+0900,2026-06-13T23:45:04+0900,36.487132,127.257846,36.475029,127.285073
grid_8125_22779,grid_8123_22785,1,1,1,2756.043023582364,2756.043023582364,33.40658210402865,2026-06-13T17:50:06+0900,2026-06-13T17:50:06+0900,36.495376,127.274277,36.485808,127.302717
grid_8124_22774,grid_8120_22776,1,1,1,2753.547194575536,2753.547194575536,32.39467287735925,2026-06-13T20:45:10+0900,2026-06-13T20:45:10+0900,36.493813,127.240923,36.472434,127.256465
grid_8127_22778,grid_8123_22775,1,1,1,2745.747864753329,2745.747864753329,32.839509345886995,2026-06-12T18:30:09+0900,2026-06-12T18:30:09+0900,36.505909,127.265194,36.485387,127.248111
grid_8122_22782,grid_8124_22777,1,1,1,2736.279841573523,2736.279841573523,32.945175350049105,2026-06-13T23:05:04+0900,2026-06-13T23:05:04+0900,36.480863,127.28826,36.489754,127.259721
grid_8119_22781,grid_8123_22784,1,1,1,2727.7055801997763,2727.7055801997763,32.51569565801058,2026-06-12T23:00:09+0900,2026-06-12T23:00:09+0900,36.468526,127.281527,36.487655,127.300626
