timestamp,operator_name,device_count,effective_device_count,avg_battery,p10_battery,median_battery,low_battery_count,zone_count
2026-06-12T17:40:14+0900,GBIKE,2797,2797,67.9191991419378,34.0,69.0,0,188
2026-06-12T17:45:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T17:45:08+0900,GBIKE,2797,2797,67.89238469789059,34.0,69.0,0,188
2026-06-12T17:50:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T17:50:08+0900,GBIKE,2797,2797,67.84090096531999,34.0,69.0,0,190
2026-06-12T17:55:04+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T17:55:04+0900,GBIKE,2797,2797,67.80765105470147,34.0,69.0,0,190
2026-06-12T18:00:19+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:00:19+0900,GBIKE,2797,2797,67.7468716481945,34.0,69.0,0,190
2026-06-12T18:05:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:05:08+0900,GBIKE,2797,2797,67.68358956024312,34.0,69.0,0,191
2026-06-12T18:10:09+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:10:09+0900,GBIKE,2797,2797,67.64962459778334,34.0,69.0,0,191
2026-06-12T18:15:13+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:15:13+0900,GBIKE,2796,2796,67.61158798283262,34.0,69.0,0,191
2026-06-12T18:20:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:20:08+0900,GBIKE,2797,2797,67.5634608509117,34.0,69.0,0,192
2026-06-12T18:25:08+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:25:08+0900,GBIKE,2797,2797,67.5219878441187,34.0,69.0,0,193
2026-06-12T18:30:09+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:30:09+0900,GBIKE,2797,2797,67.46764390418305,34.0,69.0,0,194
2026-06-12T18:35:04+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:35:04+0900,GBIKE,2797,2797,67.42581337146943,34.0,69.0,0,194
2026-06-12T18:40:13+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:40:13+0900,GBIKE,2797,2797,67.40185913478727,34.0,69.0,0,194
2026-06-12T18:45:09+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:45:09+0900,GBIKE,2797,2797,67.35645334286735,34.0,69.0,0,194
2026-06-12T18:50:05+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:50:05+0900,GBIKE,2797,2797,67.3299964247408,34.0,69.0,0,194
2026-06-12T18:55:05+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
2026-06-12T18:55:05+0900,GBIKE,2797,2797,67.27779764032893,34.0,69.0,0,194
2026-06-12T19:00:12+0900,ALPACA,1368,1368,75.20833333333333,44.0,77.0,0,195
