station_id,station_name,latitude,longitude,parking_bike_count,rack_count,dong_id
ST-4,102. 망원역 1번출구 앞,37.5556488,126.91062927,16,15,11140101
ST-5,103. 망원역 2번출구 앞,37.55495071,126.91083527,13,14,11140101
ST-6,104. 합정역 1번출구 앞,37.55073929,126.91508484,0,13,11140102
ST-7,105. 합정역 5번출구 앞,37.55000687,126.91482544,1,5,11140102
ST-8,106. 합정역 7번출구 앞,37.54864502,126.91282654,3,12,11140102
